sample #,species,CO2 treatment,sample type,Filename,Arginine,Caffeine,Chlorogenic acid,Cinnamic acid,Eugenol,Gallic acid,Histidine,Isoleucine + Leucine,Kaempferol,Lysine,Methionine,Nicotine,P-coumaric acid,Phenylalanine,Quercitin,Threonine,Tryptophan,Valine,Round
58,buckwheat,ambient,anther,SUB09281_SPL58,950939,138869,10711058,53751,N/F,418727,6929068,7347795,40357490,1228704,2933195,722113,304567,15675673,95137872,26340114,91480531,140206048,1
59,buckwheat,ambient,anther,SUB09281_SPL59,430469,332442,19532275,64299,N/F,N/F,13812356,#VALUE!,40089402,640234,2182911,1476507,579313,19216995,126600246,26275109,123383280,85877908,1
60,buckwheat,ambient,anther,SUB09281_SPL60,2418046,1181882,27420540,35616,N/F,222435,4848957,5071392,47119732,1385767,62077,1905630,613243,13066816,189024943,16749228,57036633,80308895,1
61,squash,ambient,pollen,SUB09281_SPL61,4345971,1444356,N/F,10707,N/F,N/F,13726616,53618341,30612040,2631021,18540220,N/F,N/F,47988128,581143,17825884,17763401,34170800,1
62,squash,ambient,pollen,SUB09281_SPL62,3983141,399084,N/F,4092,N/F,N/F,15688437,83466833,50003195,2743143,24989672,N/F,N/F,89151529,843198,16859033,22613345,48100064,1
63,squash,ambient,pollen,SUB09281_SPL63,4436560,1327940,N/F,23724,N/F,N/F,22583627,104109676,76633805,3487324,31664424,N/F,N/F,105635386,1057728,21978226,30162920,56934850,1
64,squash,ambient,pollen,SUB09281_SPL64,3048507,906332,N/F,N/F,N/F,N/F,19651299,80462261,53353976,2163104,22544891,N/F,N/F,77980129,531332,19836694,29293135,61890003,1
65,squash,elevated,pollen,SUB09281_SPL65,4497299,1287402,N/F,24526,N/F,N/F,18416170,#VALUE!,56972184,2767935,24401051,N/F,N/F,94421179,886391,21493111,26465260,61989652,1
66,squash,elevated,pollen,SUB09281_SPL66,3035314,1302690,N/F,5286,N/F,N/F,10189619,#VALUE!,23762990,1572179,15809133,N/F,N/F,37263896,1506849,13925999,20428352,218735534,1
67,squash,elevated,pollen,SUB09281_SPL67,3775200,633123,N/F,N/F,N/F,N/F,14689416,N/F,30241304,1768933,21249819,N/F,N/F,51563804,401434,16654617,11560192,35486384,1
