Sample ID,Sample_weight,N,C,OMIT,NOTES,Plant_SP,ID,CO2,Round
N1162,1.26,5.3603,48.1329,,,N,11,0,1
N361,1.295,5.0102,47.2993,,,N,3,0,1
N1760,1.33,5.1736,48.2423,,,N,17,1,2
N162,1.372,4.6869,49.3827,,,N,1,0,1
N1460,1.483,5.1174,49.2906,,,N,14,1,2
N2260,1.289,4.9638,49.3303,,,N,22,1,2
N2360,1.253,4.8444,49.6109,,,N,23,1,2
N1161,1.247,4.6778,48.9068,,,N,11,0,1
N1960,1.277,4.6551,48.2146,1,,N,19,1,2
PP361,1.351,7.4256,49.9338,1,PP361 duplicate check,PP,3,0,1
SA363,0.981,4.3068,46.4389,1,SA363 duplicate check,SA,3,1,1
PP1161,1.461,7.9917,49.2825,,,PP,11,0,1
PP463,1.395,7.6405,48.7397,,,PP,4,1,1
PP962,0.233,7.9736,50.7075,,,PP,9,0,1
PP960,0.543,8.1186,49.3686,1,C below detection limit,PP,9,1,1
BW1763,1.385,1.5326,48.5712,1,,BW,17,1,2
BW1663,1.37,1.6435,50.8151,,,BW,16,1,2
SF1762,1.383,5.0473,51.6895,1,SF1762 duplicate check,SF,17,0,2
SF1960,1.385,4.8905,52.6771,,,SF,19,1,2
LP763,2.061,6.2156,46.9506,1,LP763 duplicate check,LP,7,1,1
LP1462,1.401,8.4835,49.3381,1,LP1462 duplicate check,LP,14,0,2
LP1661,1.369,8.8318,50.2648,1,LP1661 duplicate check,LP,16,0,2
LP1761,0.785,8.4281,49.2455,1,LP1761 duplicate check,LP,17,0,2
LP1461,1.314,8.177,50.168,1,LP1461 duplicate check,LP,14,0,2
LP1361,1.357,9.0372,49.4426,1,LP1361 duplicate check,LP,13,0,2
LP962,1.442,8.2144,51.3394,,,LP,9,0,1
LP2462,1.421,8.0408,51.4367,1,LP2462 duplicate check,LP,24,0,2
LP963,0.512,7.4377,50.6352,1,LP963 duplicate check,LP,9,1,1
